CWC ID Number,Laboratory,d13C,%C,d15N,%N,C:N,d34S,%S,,
CWC0680,University of Windsor,-17.78,44.05,8.95,14.87,2.96,not measured,not measured,,
CWC0681,University of Windsor,-17.19,46.10,11.29,15.50,2.97,not measured,not measured,,
CWC0682,University of Windsor,-18.30,40.92,9.28,13.41,3.05,not measured,not measured,,
CWC0683,University of Windsor,-17.91,41.66,9.30,13.50,3.09,not measured,not measured,,
CWC0684,University of Windsor,-15.97,44.54,11.51,14.57,3.06,not measured,not measured,,
CWC0686,University of Windsor,-16.82,43.82,8.85,14.50,3.02,not measured,not measured,,
CWC0687,University of Windsor,-16.88,44.34,9.08,14.54,3.05,not measured,not measured,,
CWC0688,University of Windsor,-16.81,44.34,8.62,14.50,3.06,not measured,not measured,,
CWC0689,University of Windsor,-16.80,44.67,9.00,14.72,3.03,not measured,not measured,,
CWC0690,University of Windsor,-18.76,43.53,10.87,14.38,3.03,not measured,not measured,,
CWC0780,University of Windsor,-14.49,47.05,7.69,13.35,3.52,not measured,not measured,,
CWC0781,University of Windsor,-14.17,48.87,11.44,12.67,3.86,not measured,not measured,,
CWC0782,University of Windsor,-14.84,46.86,8.66,13.08,3.58,not measured,not measured,,
CWC0783,University of Windsor,-14.81,47.70,8.54,12.32,3.87,not measured,not measured,,
CWC0784,University of Windsor,-14.47,48.11,8.80,12.58,3.82,not measured,not measured,,
CWC0785,University of Windsor,-13.76,49.04,10.38,12.03,4.08,not measured,not measured,,
CWC0786,University of Windsor,-14.57,46.84,8.93,12.72,3.68,not measured,not measured,,
